number,fix_duration,first_fix_duration,fix_number,fix_duration_n,first_fix_duration_n,fix_number_n,word,sentence_num
0,0.0,0.0,0.0,0.0,0.0,0.0,The,0
1,0.2858333333333333,0.2858333333333333,0.6666666666666666,0.013653996856095,0.0162204660055524,0.0125830959164292,primary,0
2,0.1564,0.1564,0.3333333333333333,0.007276347682874,0.0087201360430431,0.0061728395061728,Language,0
3,0.0808333333333333,0.0808333333333333,0.3333333333333333,0.0039446672978134,0.004653563766297,0.0064102564102564,spoken,0
4,0.0969999999999999,0.0969999999999999,0.3333333333333333,0.0045128243301712,0.0054082685177441,0.0061728395061728,in,0
5,0.1077666666666666,0.1077666666666666,0.3333333333333333,0.0052590141747756,0.0062041120232735,0.0064102564102564,Costa,0
6,0.0754333333333333,0.0754333333333333,0.3333333333333333,0.0035094575461091,0.0042058115655171,0.0061728395061728,Rica,0
7,0.0,0.0,0.0,0.0,0.0,0.0,is,0
8,0.1779333333333333,0.1779333333333333,0.6666666666666666,0.0084868011853153,0.010087065069657,0.0125830959164292,"Spanish,",0
9,0.0,0.0,0.0,0.0,0.0,0.0,with,0
10,0.3286333333333333,0.1993,1.0,0.0158291269246464,0.011307705619744,0.0189933523266856,some,0
11,0.6255666666666667,0.2803333333333333,1.6666666666666667,0.0298525072123647,0.0158842954865448,0.0315764482431149,Central,0
12,0.0971666666666666,0.0971666666666666,0.3333333333333333,0.0047417340920107,0.0055938714963942,0.0064102564102564,American,0
13,0.1616333333333333,0.1616333333333333,0.3333333333333333,0.0075198230848798,0.0090119223513887,0.0061728395061728,features,0
14,0.2965666666666666,0.2965666666666666,0.6666666666666666,0.0141658723010448,0.016828886549543,0.0125830959164292,specific,0
15,0.0,0.0,0.0,0.0,0.0,0.0,to,0
16,0.1457333333333333,0.1457333333333333,0.3333333333333333,0.0082785156235206,0.0117596111689408,0.0072463768115942,the,0
17,0.2425666666666666,0.2425666666666666,0.6666666666666666,0.0115794551243243,0.0137590051692969,0.0125830959164292,country.,0
18,0.3397666666666667,0.1670333333333333,1.3333333333333333,0.0173602094427113,0.0110594448823243,0.026838432635534,Costa,0
